CIF ,ACC,PAN,VPAN,Status
1200007618,100000051898,4402070014534860,1000000000002830,Virtually active
1200009861,100000086856,4402070048834740,1000000000003929,Virtually active
1000006971,100000041787,4402070095001300,1000000000002485,Virtually active
1200010655,100000094107,4402070084632040,1000000000004206,Virtually active
1000004777,100000022084,4402070088422570,1000000000001721,Virtually active
1200010708,100000094565,4402070079696000,1000000000004234,Normal
1000001771,200000044104,4402070035485290,1000000000000397,Normal
1200010223,100000088007,4402070023007460,1000000000004014,Normal
1200010883,100000097483,4402070061320700,1000000000004326,Normal
1000000235,200000008132,4402070002202850,1000000000000199,Normal
