fromAccount,toAccount,currency,fromAccountMinimumBalance,maximumRequiredBalance,minimumRequiredBalance,frequency
100000103149,100000103424,EGP,100,1000,500,DAILY
100000103157,100000103432,EGP,100,1000,500,DAILY
100000103165,100000103448,EGP,100,1000,500,DAILY
100000103173,100000103459,EGP,100,1000,500,DAILY
100000103181,100000103467,EGP,100,1000,500,DAILY
100000103197,100000103475,EGP,100,1000,500,DAILY
100000103203,100000103483,EGP,100,1000,500,DAILY
100000103211,100000103491,EGP,100,1000,500,DAILY
100000103227,100000103505,EGP,100,1000,500,DAILY
100000103238,100000103513,EGP,100,1000,500,DAILY
100000103246,100000103521,EGP,100,1000,500,DAILY
100000103254,100000103537,EGP,100,1000,500,DAILY
100000103262,100000103548,EGP,100,1000,500,DAILY
100000103278,100000103556,EGP,100,1000,500,DAILY
100000103289,100000103564,EGP,100,1000,500,DAILY
100000103297,100000103572,EGP,100,1000,500,DAILY
100000103308,100000103588,EGP,100,1000,500,DAILY
100000103319,100000103599,EGP,100,1000,500,DAILY
