CustomerID,Mnemonic,Name,Account Officer,Nationality,Residence,Sector,Industry
1000001921,A00,Tester1,CEO,Egypt,Egypt,Retail,Retail Test CaseS 956
1000001699,A112,Mahmoud Test,CEO,Egypt,Egypt,Retail,Retail Test CaseS 956
1000000799,A1234,Mahmoud magdy,CEO,Egypt,Egypt,Staff,Retail Test CaseS 956
1000001229,A12345,North Cairo for Electricity distribution,CEO,Egypt,Egypt,COMMERCIAL PUBLIC SECTOR BANK,Banks Inside Egypt
1000001202,A12365478933,Nermine Hisham,CEO,Egypt,Egypt,Retail,Retail Test CaseS 956
1000001214,A12365478988,Nermine Bank,CEO,Egypt,Egypt,COMMERCIAL PUBLIC SECTOR BANK,Banks Inside Egypt
1000001207,A1236666,Nermine Corp,CEO,Egypt,Egypt,PS-Public,Trade SectorR
1000001701,A134,Mahmoud Test 1,CEO,Egypt,Egypt,Retail,Retail Test CaseS 956
1000001712,A335,Said Awad,CEO,Egypt,Egypt,Staff,Staff IND
1000001702,A661,Mahmoud Test 3,CEO,Egypt,Egypt,Retail,Retail Test CaseS 956
1000001104,AA349,aaa,CEO,Egypt,Egypt,Staff,Retail Test CaseS 956
1000000869,AA456,Sara,CEO,Egypt,Egypt,Retail,Retail Test CaseS 956
1000000997,AAIB,ARAB AFRICAN INTERNATIONAL BANK,CEO,Egypt,Egypt,INVESTMENT BANK,Banks Inside Egypt
1000002401,AB104,AH,CEO,Egypt,Egypt,Retail,Retail Test CaseS 956
1000002406,AB105,AH,CEO,Egypt,Egypt,Retail,Retail Test CaseS 956
1000002444,AB106,AH,CEO,Egypt,Egypt,Retail,Retail Test CaseS 956
1000002445,AB107,AH,CEO,Egypt,Egypt,Retail,Retail Test CaseS 956
1000002467,AB110,AH,CEO,Egypt,Egypt,Retail,Retail Test CaseS 956
1000002477,AB111,AH,CEO,Egypt,Egypt,Retail,Retail Test CaseS 956
1000002478,AB112,AH,CEO,Egypt,Egypt,Retail,Retail Test CaseS 956
1000002495,AB113,Ahmed,CEO,Egypt,Egypt,Retail,Retail Test CaseS 956
1000002496,AB114,AH,CEO,Egypt,Egypt,Retail,Retail Test CaseS 956
1000000960,ABDIEG,ABU DHABI ISLAMIC BANK - EGYPT,CEO,Egypt,Egypt,COMMERCIAL PUBLIC SECTOR BANK,Banks Inside Egypt
1000000673,AC123,Test123,CEO,USA,Egypt,Retail,Retail Test CaseS 956
1000001648,ACEG001,APIsACHCustomer,CEO,Egypt,Egypt,Retail,Retail Test CaseS 956
1000001382,ACFT55,FATCATest0069,CEO,Egypt,Egypt,Retail,Retail Test CaseS 956
1000000856,AD123,ADTEST,CEO,Egypt,Egypt,Retail,Retail Test CaseS 956
1000001237,AD12453,Ahmed,CEO,Egypt,Egypt,Retail,Retail Test CaseS 956
1000001096,ADF123,YF,CEO,Egypt,Egypt,Retail,Retail Test CaseS 956
1000001307,AE111,"Abu Dhabi commercial bank, AD.",CEO,U.A.E,U.A.E,FOREIGN BANKS,Banks Outside Egypt
1000000560,AFN197,CustomerNFEAF,CEO,USA,USA,PBS-Other Stock Companies,Pharmaceuticals
1000001305,AFST88,Amany,CEO,USA,Egypt,Retail,Retail Test CaseS 956
1000001149,AG887,CustomerLimitTest,CEO,Egypt,Egypt,Retail,Retail Test CaseS 956
1000001282,AGSM33,Andrew,CEO,USA,Egypt,Retail,Retail Test CaseS 956
1000002303,AH100,AH,CEO,Egypt,Egypt,Retail,Retail Test CaseS 956
1000001182,AH123,Ahmed,CEO,Egypt,Egypt,Retail,Retail Test CaseS 956
1000001696,AHB024,Abdallah Hatem Badran,CEO,Egypt,Egypt,Retail,Retail Test CaseS 956
1000000653,AHLIEGGB,BANK AHLI LONDON,CEO,Egypt,United Kingdom,COMMERCIAL PUBLIC SECTOR BANK,Banks Outside Egypt
1000000883,ALI222,Alison Smith,CEO,USA,Egypt,Retail,Retail Test CaseS 956
1000000841,AMI123,Amira Ahmed,CEO,Egypt,Egypt,Retail,Retail Test CaseS 956
1000002877,APIL001,APILoanTest,CEO,Egypt,Egypt,Retail,Retail Test CaseS 956
1000002726,AQ100,AH,CEO,Egypt,Egypt,Retail,Retail Test CaseS 956
1000002867,AQ101,AH,CEO,Egypt,Egypt,Retail,Retail Test CaseS 956
1000000991,ARABINT,ARAB INT'L BANK CAIRO,CEO,Egypt,Egypt,INVESTMENT BANK,Banks Inside Egypt
1000000220,AS123,Motel,CEO,USA,Egypt,PS-Economic Authorities,Manufacturing Sector
1000000283,AS5463,DSA,CEO,Egypt,Egypt,Retail,Retail Test CaseS 956
1000000286,ASD12345,QCTEST1,CEO,Egypt,Egypt,Retail,Retail Test CaseS 956
1000001443,ASMT001,CustomerAATest_001,CEO,Egypt,Egypt,Retail,Retail Test CaseS 956
1000000191,AT888,OTHER BANK PORTFLIO,CEO,Egypt,Egypt,OTHER COMMERCIAL PUBLIC SECTOR BANK,Banks Inside Egypt
1000000292,ATA,Ahmed Tarek,CEO,Egypt,Egypt,Retail,Retail Test CaseS 956
