"Arrangement","Account","CURRENCY","Start date","Maturity Date","Description","Customer #","Customer Name","Customer Role","Balance","Status"
"AA22284BHLKN","","EGP","","","1 Year deposit - Interest Monthly","1000000904","TEST MDI DATA AMENDED NEW","","",""
"AA22153FLTP1","100000001125","EGP","","02 JUN 2025","3 Years CD - Interest Annually","1000000071","Test Retail 1299","Beneficial Owner","0.00","Not Funded"
"AA221535PPHQ","100000001192","EGP","","02 JUN 2027","5 Years CD - Interest Annually","1000000044","TEST DEMOZ TEST","Beneficial Owner","0.00","Not Funded"
"AA22153N068W","100000001478","EGP","","02 JUN 2025","3 Years CD - Interest Annually","1000000086","OVD","Beneficial Owner","0.00","Not Funded"
"AA2215606JM8","100000001575","EGP","","05 JUN 2025","3 Years CD - Interest Annually","1000000071","Test Retail 1299","Beneficial Owner","0.00","Not Funded"
"AA22177PDKT7","100000006518","EGP","","26 JUN 2025","3 Years CD - Interest Annually","1000000253","ahmedresa","Beneficial Owner","0.00","Not Funded"
"AA221995RV8V","100000007425","EGP","","18 JUL 2025","3 Years CD - Interest Annually","1000000253","ahmedresa","Beneficial Owner","0.00","Not Funded"
"AA23060YT363","100000107764","EGP","","01 JAN 2024","Saving plan - Monthly instalment","1000000799","Mahmoud Magdy Mahmoud","Beneficial Owner","0.00","Not Funded"
"AA22153LJV36","100000000657","EGP","","","3 Months deposit - Interest Monthly","1000000077","TEST TEST 15","Beneficial Owner","0.00","Not Funded"
"AA22153GNHWD","100000001168","USD","","","1 Year deposit - Interest Semi Ann","1000000083","DemoAF","Beneficial Owner","0.00","Not Funded"
"AA22156RHJ2W","100000002067","EGP","","","1 Year deposit - Interest Monthly","1000000056","TEST TEST DEMOOZ","Beneficial Owner","0.00","Not Funded"
"AA22171C173C","100000006011","EGP","","","3 Months deposit - Interest Monthly","1000000077","TEST TEST 15","Beneficial Owner","0.00","Not Funded"
"AA230643M5T8","100000113152","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255585","TESTER185","Beneficial Owner","0.00","Not Funded"
"AA230648M1P6","100000113168","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255585","TESTER185","Beneficial Owner","0.00","Not Funded"
"AA23064N665X","100000113179","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255587","TESTER187","Beneficial Owner","0.00","Not Funded"
"AA23064099TW","100000113187","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255585","TESTER185","Beneficial Owner","0.00","Not Funded"
"AA23064XH9KH","100000113195","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255585","TESTER185","Beneficial Owner","0.00","Not Funded"
"AA23064BPQLD","100000113217","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255585","TESTER185","Beneficial Owner","0.00","Not Funded"
"AA23064M9LCM","100000113233","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255587","TESTER187","Beneficial Owner","0.00","Not Funded"
"AA230644KY4C","100000113257","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255589","TESTER189","Beneficial Owner","0.00","Not Funded"
"AA23064Y5JH1","100000113276","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255584","TESTER184","Beneficial Owner","0.00","Not Funded"
"AA23064X8H5J","100000113292","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255585","TESTER185","Beneficial Owner","0.00","Not Funded"
"AA23064G9KVY","100000113322","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255587","TESTER187","Beneficial Owner","0.00","Not Funded"
"AA23064J6S0J","100000113357","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255589","TESTER189","Beneficial Owner","0.00","Not Funded"
"AA230640X61S","100000113373","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255590","TESTER190","Beneficial Owner","0.00","Not Funded"
"AA23064PT207","100000113381","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255584","TESTER184","Beneficial Owner","0.00","Not Funded"
"AA23064QL7TV","100000113397","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255585","TESTER185","Beneficial Owner","0.00","Not Funded"
"AA23064WM52S","100000113438","EGP","","03 MAY 2026","3 Years CD - Interest Monthly","1000255590","TESTER190","Beneficial Owner","0.00","Not Funded"
